NSE,Name,Symbol
NSE: 20MICRONS,20 Microns Limited,20MICRONS
NSE: 21STCENMGM,21st Century Management Services Limited,21STCENMGM
NSE: 3IINFOTECH,3i Infotech Limited,3IINFOTECH
,3M India Limited,#REF!
NSE: 3PLAND,3P Land Holdings Limited,3PLAND
NSE: 3RDROCK,3rd Rock Multimedia Limited,3RDROCK
NSE: 5PAISA,5Paisa Capital Limited,5PAISA
NSE: 63MOONS,63 Moons Technologies Limited,63MOONS
NSE: AMJUMBO,A and M Jumbo Bags Limited,AMJUMBO
NSE: ABINFRA,A B Infrabuild Limited,ABINFRA
NSE: ABNINT,A B N Intercorp Limited,ABNINT
NSE: A2ZINFRA,A2Z Infra Engineering Limited,A2ZINFRA
NSE: AAKASH,Aakash Exploration Services Limited,AAKASH
NSE: AARON,Aaron Industries Limited,AARON
NSE: AARTIDRUGS,Aarti Drugs Limited,AARTIDRUGS
NSE: AARTIIND,Aarti Industries Limited,AARTIIND
NSE: AARVEEDEN,Aarvee Denims & Exports Limited,AARVEEDEN
NSE: AARVI,Aarvi Encon Limited,AARVI
NSE: AAVAS,Aavas Financiers Limited,AAVAS
NSE: ABAN,Aban Offshore Limited,ABAN
NSE: ABB,ABB India Limited,ABB
NSE: POWERINDIA,ABB Power Products and Systems India Limited,POWERINDIA
NSE: ABMINTLTD,ABM International Limited,ABMINTLTD
NSE: ACC,ACC Limited,ACC
NSE: ACCELYA,Accelya Solutions India Limited,ACCELYA
NSE: ACCORD,Accord Synergy Limited,ACCORD
NSE: ACCURACY,Accuracy Shipping Limited,ACCURACY
NSE: ACEINTEG,Ace Integrated Solutions Limited,ACEINTEG
NSE: ACE,Action Construction Equipment Limited,ACE
NSE: ADANIENT,Adani Enterprises Limited,ADANIENT
NSE: ADANIGAS,Adani Gas Limited,ADANIGAS
NSE: ADANIGREEN,Adani Green Energy Limited,ADANIGREEN
NSE: ADANIPORTS,Adani Ports and Special Economic Zone Limited,ADANIPORTS
NSE: ADANIPOWER,Adani Power Limited,ADANIPOWER
NSE: ADANITRANS,Adani Transmission Limited,ADANITRANS
NSE: ADFFOODS,ADF Foods Limited,ADFFOODS
NSE: ADHUNIKIND,Adhunik Industries Limited,ADHUNIKIND
NSE: ABCAPITAL,Aditya Birla Capital Limited,ABCAPITAL
NSE: ABFRL,Aditya Birla Fashion and Retail Limited,ABFRL
NSE: BIRLAMONEY,Aditya Birla Money Limited,BIRLAMONEY
NSE: ADLABS,Adlabs Entertainment Limited,ADLABS
NSE: ADORWELD,Ador Welding Limited,ADORWELD
NSE: ADROITINFO,Adroit Infotech Limited,ADROITINFO
NSE: ADVENZYMES,Advanced Enzyme Technologies Limited,ADVENZYMES
NSE: ADVANIHOTR,Advani Hotels & Resorts (India) Limited,ADVANIHOTR
NSE: AEGISCHEM,Aegis Logistics Limited,AEGISCHEM
NSE: AFFLE,Affle (India) Limited,AFFLE
NSE: AGARIND,Agarwal Industrial Corporation Limited,AGARIND
NSE: AGCNET,AGC Networks Limited,AGCNET
NSE: AGRITECH,Agri-Tech (India) Limited,AGRITECH
NSE: AGROPHOS,Agro Phos India Limited,AGROPHOS
NSE: ATFL,Agro Tech Foods Limited,ATFL
NSE: AHIMSA,Ahimsa Industries Limited,AHIMSA
NSE: AHLADA,Ahlada Engineers Limited,AHLADA
NSE: AHLUCONT,Ahluwalia Contracts (India) Limited,AHLUCONT
NSE: AIAENG,AIA Engineering Limited,AIAENG
NSE: AIRAN,Airan Limited,AIRAN
NSE: AIROLAM,Airo Lam limited,AIROLAM
NSE: AJANTPHARM,Ajanta Pharma Limited,AJANTPHARM
NSE: AJMERA,Ajmera Realty & Infra India Limited,AJMERA
NSE: AJOONI,Ajooni Biotech Limited,AJOONI
NSE: AKASH,Akash Infra-Projects Limited,AKASH
NSE: AKG,Akg Exim Limited,AKG
NSE: AKSHOPTFBR,Aksh Optifibre Limited,AKSHOPTFBR
NSE: AKSHARCHEM,AksharChem India Limited,AKSHARCHEM
NSE: AKZOINDIA,Akzo Nobel India Limited,AKZOINDIA
NSE: ALANKIT,Alankit Limited,ALANKIT
NSE: ALBERTDAVD,Albert David Limited,ALBERTDAVD
NSE: ALCHEM,Alchemist Limited,ALCHEM
NSE: ALEMBICLTD,Alembic Limited,ALEMBICLTD
NSE: APLLTD,Alembic Pharmaceuticals Limited,APLLTD
NSE: ALICON,Alicon Castalloy Limited,ALICON
NSE: ALKALI,Alkali Metals Limited,ALKALI
NSE: ALKEM,Alkem Laboratories Limited,ALKEM
NSE: ALKYLAMINE,Alkyl Amines Chemicals Limited,ALKYLAMINE
NSE: ALLCARGO,Allcargo Logistics Limited,ALLCARGO
NSE: ADSL,Allied Digital Services Limited,ADSL
NSE: ALLSEC,Allsec Technologies Limited,ALLSEC
NSE: ALMONDZ,Almondz Global Securities Limited,ALMONDZ
NSE: ALOKINDS,Alok Industries Limited,ALOKINDS
NSE: ALPA,Alpa Laboratories Limited,ALPA
NSE: ALPHAGEO,Alphageo (India) Limited,ALPHAGEO
NSE: ALPSINDUS,Alps Industries Limited,ALPSINDUS
NSE: AMARAJABAT,Amara Raja Batteries Limited,AMARAJABAT
NSE: AMBANIORG,Ambani Organics Limited,AMBANIORG
NSE: AMBER,Amber Enterprises India Limited,AMBER
NSE: AMBIKCO,Ambika Cotton Mills Limited,AMBIKCO
NSE: AMBUJACEM,Ambuja Cements Limited,AMBUJACEM
NSE: AMDIND,AMD Industries Limited,AMDIND
NSE: ASIL,Amit Spinning Industries Limited,ASIL
NSE: AMJLAND,Amj Land Holdings Limited,AMJLAND
NSE: AMRUTANJAN,Amrutanjan Health Care Limited,AMRUTANJAN
NSE: ANANTRAJ,Anant Raj Limited,ANANTRAJ
NSE: ANDHRACEMT,Andhra Cements Limited,ANDHRACEMT
NSE: ANDHRAPAP,Andhra Paper Limited,ANDHRAPAP
NSE: ANGELBRKG,Angel Broking Limited,ANGELBRKG
NSE: AISL,ANI Integrated Services Limited,AISL
NSE: ANIKINDS,Anik Industries Limited,ANIKINDS
NSE: APCL,Anjani Portland Cement Limited,APCL
NSE: ANKITMETAL,Ankit Metal & Power Limited,ANKITMETAL
NSE: ANSALHSG,Ansal Housing Limited,ANSALHSG
NSE: ANSALAPI,Ansal Properties & Infrastructure Limited,ANSALAPI
NSE: APARINDS,Apar Industries Limited,APARINDS
NSE: APCOTEXIND,Apcotex Industries Limited,APCOTEXIND
NSE: APEX,Apex Frozen Foods Limited,APEX
NSE: APLAPOLLO,APL Apollo Tubes Limited,APLAPOLLO
NSE: APOLLOHOSP,Apollo Hospitals Enterprise Limited,APOLLOHOSP
NSE: APOLLO,Apollo Micro Systems Limited,APOLLO
NSE: APOLLOPIPE,Apollo Pipes Limited,APOLLOPIPE
NSE: APOLSINHOT,Apollo Sindoori Hotels Limited,APOLSINHOT
NSE: APOLLOTYRE,Apollo Tyres Limited,APOLLOTYRE
NSE: APTECHT,Aptech Limited,APTECHT
NSE: ARCHIDPLY,Archidply Industries Limited,ARCHIDPLY
NSE: ARCHIES,Archies Limited,ARCHIES
NSE: ARCOTECH,Arcotech Limited,ARCOTECH
NSE: ARIES,Aries Agro Limited,ARIES
NSE: ARIHANT,Arihant Foundations & Housing Limited,ARIHANT
NSE: ARIHANTSUP,Arihant Superstructures Limited,ARIHANTSUP
NSE: ARMANFIN,Arman Financial Services Limited,ARMANFIN
NSE: AROGRANITE,Aro Granite Industries Limited,AROGRANITE
NSE: ARROWGREEN,Arrow Greentech Limited,ARROWGREEN
NSE: ARSHIYA,Arshiya Limited,ARSHIYA
NSE: ARSSINFRA,ARSS Infrastructure Projects Limited,ARSSINFRA
NSE: ARTNIRMAN,Art Nirman Limited,ARTNIRMAN
NSE: ARTEDZ,Artedz Fabs Limited,ARTEDZ
NSE: ARTEMISMED,Artemis Medicare Services Limited,ARTEMISMED
NSE: ARVEE,Arvee Laboratories (India) Limited,ARVEE
NSE: ARVINDFASN,Arvind Fashions Limited,ARVINDFASN
NSE: ARVIND,Arvind Limited,ARVIND
NSE: ARVSMART,Arvind SmartSpaces Limited,ARVSMART
NSE: ASAHIINDIA,Asahi India Glass Limited,ASAHIINDIA
NSE: ASAHISONG,Asahi Songwon Colors Limited,ASAHISONG
NSE: ASCOM,Ascom Leasing & Investments Limited,ASCOM
NSE: ASHAPURMIN,Ashapura Minechem Limited,ASHAPURMIN
NSE: ASHIANA,Ashiana Housing Limited,ASHIANA
NSE: ASHIMASYN,Ashima Limited,ASHIMASYN
NSE: ASHOKLEY,Ashok Leyland Limited,ASHOKLEY
NSE: ASHOKA,Ashoka Buildcon Limited,ASHOKA
NSE: ASIANTILES,Asian Granito India Limited,ASIANTILES
NSE: AHLEAST,Asian Hotels (East) Limited,AHLEAST
NSE: ASIANHOTNR,Asian Hotels (North) Limited,ASIANHOTNR
NSE: AHLWEST,Asian Hotels (West) Limited,AHLWEST
NSE: ASIANPAINT,Asian Paints Limited,ASIANPAINT
NSE: ASLIND,ASL Industries Limited,ASLIND
NSE: ASPINWALL,Aspinwall and Company Limited,ASPINWALL
NSE: ASALCBR,Associated Alcohols & Breweries Ltd.,ASALCBR
NSE: ASTEC,Astec LifeSciences Limited,ASTEC
NSE: ASTERDM,Aster DM Healthcare Limited,ASTERDM
NSE: ASTRAMICRO,Astra Microwave Products Limited,ASTRAMICRO
NSE: ASTRAL,Astral Limited,ASTRAL
NSE: ASTRAZEN,AstraZeneca Pharma India Limited,ASTRAZEN
NSE: ASTRON,Astron Paper & Board Mill Limited,ASTRON
NSE: ATLANTA,Atlanta Limited,ATLANTA
NSE: ATLASCYCLE,Atlas Cycles (Haryana) Limited,ATLASCYCLE
NSE: ATNINTER,ATN International Limited,ATNINTER
NSE: ATULAUTO,Atul Auto Limited,ATULAUTO
NSE: ATUL,Atul Limited,ATUL
NSE: AUBANK,AU Small Finance Bank Limited,AUBANK
NSE: AURDIS,Aurangabad Distillery Limited,AURDIS
NSE: Aurionpro,Aurionpro Solutions Limited,Aurionpro
NSE: AUROPHARMA,Aurobindo Pharma Limited,AUROPHARMA
NSE: AUSOMENT,Ausom Enterprise Limited,AUSOMENT
NSE: AUTOIND,Autoline Industries Limited,AUTOIND
NSE: AUTOLITIND,Autolite (India) Limited,AUTOLITIND
NSE: AUTOAXLES,Automotive Axles Limited,AUTOAXLES
NSE: ASAL,Automotive Stampings and Assemblies Limited,ASAL
NSE: AVADHSUGAR,Avadh Sugar & Energy Limited,AVADHSUGAR
NSE: AVANTIFEED,Avanti Feeds Limited,AVANTIFEED
NSE: AVENTUS,Aventus Buildcon Limited,AVENTUS
NSE: DMART,Avenue Supermarts Limited,DMART
NSE: AVG,AVG Logistics Limited,AVG
NSE: AVROIND,Avro India Limited,AVROIND
NSE: AVSL,AVSL Industries Limited,AVSL
NSE: AVTNPL,AVT Natural Products Limited,AVTNPL
NSE: AXISBANK,Axis Bank Limited,AXISBANK
NSE: AXISCADES,AXISCADES Engineering Technologies Limited,AXISCADES
NSE: AYMSYNTEX,AYM Syntex Limited,AYMSYNTEX
NSE: BBTCL,B&B Triplewall Containers Limited,BBTCL
NSE: BLKASHYAP,B. L. Kashyap and Sons Limited,BLKASHYAP
NSE: BAGFILMS,B.A.G Films and Media Limited,BAGFILMS
NSE: BABAFOOD,Baba Agro Food Limited,BABAFOOD
NSE: BAFNAPH,Bafna Pharmaceuticals Limited,BAFNAPH
NSE: BAJAJ-AUTO,Bajaj Auto Limited,BAJAJ-AUTO
NSE: BAJAJCON,Bajaj Consumer Care Limited,BAJAJCON
NSE: BAJAJELEC,Bajaj Electricals Limited,BAJAJELEC
NSE: BAJFINANCE,Bajaj Finance Limited,BAJFINANCE
NSE: BAJAJFINSV,Bajaj Finserv Limited,BAJAJFINSV
NSE: BAJAJHIND,Bajaj Hindusthan Sugar Limited,BAJAJHIND
NSE: BAJAJHLDNG,Bajaj Holdings & Investment Limited,BAJAJHLDNG
NSE: BALPHARMA,Bal Pharma Limited,BALPHARMA
NSE: BALAMINES,Balaji Amines Limited,BALAMINES
NSE: BALAJITELE,Balaji Telefilms Limited,BALAJITELE
NSE: BALAXI,Balaxi Ventures Limited,BALAXI
NSE: BALKRISIND,Balkrishna Industries Limited,BALKRISIND
NSE: BALKRISHNA,Balkrishna Paper Mills Limited,BALKRISHNA
NSE: BALLARPUR,Ballarpur Industries Limited,BALLARPUR
NSE: BALMLAWRIE,Balmer Lawrie & Company Limited,BALMLAWRIE
NSE: BALRAMCHIN,Balrampur Chini Mills Limited,BALRAMCHIN
NSE: BANARBEADS,Banaras Beads Limited,BANARBEADS
NSE: BANCOINDIA,Banco Products (I) Limited,BANCOINDIA
NSE: BANDHANBNK,Bandhan Bank Limited,BANDHANBNK
NSE: BANG,Bang Overseas Limited,BANG
NSE: BANKBARODA,Bank of Baroda,BANKBARODA
NSE: BANKINDIA,Bank of India,BANKINDIA
NSE: MAHABANK,Bank of Maharashtra,MAHABANK
NSE: BANKA,Banka BioLoo Limited,BANKA
NSE: BASML,Bannari Amman Spinning Mills Limited,BASML
NSE: BANARISUG,Bannari Amman Sugars Limited,BANARISUG
NSE: BANSWRAS,Banswara Syntex Limited,BANSWRAS
NSE: BVCL,Barak Valley Cements Limited,BVCL
NSE: BARTRONICS,Bartronics India Limited,BARTRONICS
NSE: BASF,BASF India Limited,BASF
NSE: BATAINDIA,Bata India Limited,BATAINDIA
NSE: BDR,BDR Buildcon Limited,BDR
NSE: BEARDSELL,Beardsell Limited,BEARDSELL
NSE: BEDMUTHA,Bedmutha Industries Limited,BEDMUTHA
NSE: BEML,BEML Limited,BEML
NSE: BERGEPAINT,Berger Paints (I) Limited,BERGEPAINT
NSE: BETA,Beta Drugs Limited,BETA
NSE: BFINVEST,BF Investment Limited,BFINVEST
NSE: BFUTILITIE,BF Utilities Limited,BFUTILITIE
NSE: BGRENERGY,BGR Energy Systems Limited,BGRENERGY
NSE: BHAGERIA,Bhageria Industries Limited,BHAGERIA
NSE: BHAGYANGR,Bhagyanagar India Limited,BHAGYANGR
NSE: BHAGYAPROP,Bhagyanagar Properties Limited,BHAGYAPROP
NSE: BHALCHANDR,Bhalchandram Clothing Limited,BHALCHANDR
NSE: BHANDARI,Bhandari Hosiery Exports Limited,BHANDARI
NSE: BEPL,Bhansali Engineering Polymers Limited,BEPL
NSE: BBL,Bharat Bijlee Limited,BBL
NSE: BDL,Bharat Dynamics Limited,BDL
NSE: BEL,Bharat Electronics Limited,BEL
NSE: BHARATFORG,Bharat Forge Limited,BHARATFORG
NSE: BHARATGEAR,Bharat Gears Limited,BHARATGEAR
NSE: BHEL,Bharat Heavy Electricals Limited,BHEL
NSE: BPCL,Bharat Petroleum Corporation Limited,BPCL
NSE: BHARATRAS,Bharat Rasayan Limited,BHARATRAS
NSE: BRNL,Bharat Road Network Limited,BRNL
NSE: BHARATWIRE,Bharat Wire Ropes Limited,BHARATWIRE
NSE: BHARTIARTL,Bharti Airtel Limited,BHARTIARTL
NSE: INFRATEL,Bharti Infratel Limited,INFRATEL
NSE: BIL,Bhartiya International Limited,BIL
NSE: BIGBLOC,Bigbloc Construction Limited,BIGBLOC
NSE: BILENERGY,Bil Energy Systems Limited,BILENERGY
NSE: BIOCON,Biocon Limited,BIOCON
NSE: BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,BIOFILCHEM
NSE: BIRLACABLE,Birla Cable Limited,BIRLACABLE
NSE: BIRLACORPN,Birla Corporation Limited,BIRLACORPN
NSE: BIRLATYRE,Birla Tyres Limited,BIRLATYRE
NSE: BSOFT,Birlasoft Limited,BSOFT
NSE: BKMINDST,Bkm Industries Limited,BKMINDST
NSE: BLBLIMITED,BLB Limited,BLBLIMITED
NSE: BLISSGVS,Bliss GVS Pharma Limited,BLISSGVS
NSE: BLS,BLS International Services Limited,BLS
NSE: BLUECHIP,Blue Chip India Limited,BLUECHIP
NSE: BLUECOAST,Blue Coast Hotels Limited,BLUECOAST
NSE: BLUEDART,Blue Dart Express Limited,BLUEDART
NSE: BLUESTARCO,Blue Star Limited,BLUESTARCO
NSE: BODALCHEM,Bodal Chemicals Limited,BODALCHEM
NSE: BOHRA,Bohra Industries Limited,BOHRA
NSE: BBTC,Bombay Burmah Trading Corporation Limited,BBTC
NSE: BOMDYEING,Bombay Dyeing & Mfg Company Limited,BOMDYEING
NSE: BRFL,Bombay Rayon Fashions Limited,BRFL
NSE: BSHSL,Bombay Super Hybrid Seeds Limited,BSHSL
NSE: BORORENEW,Borosil Renewables Limited,BORORENEW
NSE: BOSCHLTD,Bosch Limited,BOSCHLTD
NSE: BPL,BPL Limited,BPL
NSE: BCONCEPTS,Brand Concepts Limited,BCONCEPTS
NSE: BRIGADE,Brigade Enterprises Limited,BRIGADE
NSE: BRIGHT,Bright Solar Limited,BRIGHT
NSE: BCG,Brightcom Group Limited,BCG
NSE: BRITANNIA,Britannia Industries Limited,BRITANNIA
NSE: BROOKS,Brooks Laboratories Limited,BROOKS
NSE: BSE,BSE Limited,BSE
NSE: BSELINFRA,BSEL Infrastructure Realty Limited,BSELINFRA
NSE: BSL,BSL Limited,BSL
NSE: BURNPUR,Burnpur Cement Limited,BURNPUR
NSE: BUTTERFLY,Butterfly Gandhimathi Appliances Limited,BUTTERFLY
NSE: BSD,Best Stock Advisory,BSD
NSE: CANDC,C & C Constructions Limited,CANDC
NSE: CADILAHC,Cadila Healthcare Limited,CADILAHC
NSE: CADSYS,Cadsys (India) Limited,CADSYS
NSE: CALSOFT,California Software Company Limited,CALSOFT
NSE: CTE,Cambridge Technology Enterprises Limited,CTE
NSE: CAMLINFINE,Camlin Fine Sciences Limited,CAMLINFINE
NSE: CANFINHOME,Can Fin Homes Limited,CANFINHOME
NSE: CANBK,Canara Bank,CANBK
NSE: CANTABIL,Cantabil Retail India Limited,CANTABIL
NSE: CAPACITE,Capacit'e Infraprojects Limited,CAPACITE
NSE: CAPTRUST,Capital Trust Limited,CAPTRUST
NSE: CAPLIPOINT,Caplin Point Laboratories Limited,CAPLIPOINT
NSE: CGCL,Capri Global Capital Limited,CGCL
NSE: CARBORUNIV,Carborundum Universal Limited,CARBORUNIV
NSE: CARERATING,CARE Ratings Limited,CARERATING
NSE: CAREERP,Career Point Limited,CAREERP
NSE: CASTEXTECH,Castex Technologies Limited,CASTEXTECH
NSE: CASTROLIND,Castrol India Limited,CASTROLIND
NSE: CCL,CCL Products (India) Limited,CCL
NSE: CEATLTD,CEAT Limited,CEATLTD
NSE: CELEBRITY,Celebrity Fashions Limited,CELEBRITY
NSE: CENTRALBK,Central Bank of India,CENTRALBK
NSE: CDSL,Central Depository Services (India) Limited,CDSL
NSE: CENTRUM,Centrum Capital Limited,CENTRUM
NSE: CENTUM,Centum Electronics Limited,CENTUM
NSE: CENTENKA,Century Enka Limited,CENTENKA
NSE: CENTEXT,Century Extrusions Limited,CENTEXT
NSE: CENTURYPLY,Century Plyboards (India) Limited,CENTURYPLY
NSE: CENTURYTEX,Century Textiles & Industries Limited,CENTURYTEX
NSE: CERA,Cera Sanitaryware Limited,CERA
NSE: CEREBRAINT,Cerebra Integrated Technologies Limited,CEREBRAINT
NSE: CESC,CESC Limited,CESC
NSE: CESCVENT,CESC Ventures Limited,CESCVENT
NSE: CGPOWER,CG Power and Industrial Solutions Limited,CGPOWER
NSE: CHALET,Chalet Hotels Limited,CHALET
NSE: CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT
NSE: CHEMBOND,Chembond Chemicals Ltd,CHEMBOND
NSE: CHEMCON,Chemcon Speciality Chemicals Limited,CHEMCON
NSE: CHEMFAB,Chemfab Alkalis Limited,CHEMFAB
NSE: CHENNPETRO,Chennai Petroleum Corporation Limited,CHENNPETRO
NSE: CHOLAHLDNG,Cholamandalam Financial Holdings Limited,CHOLAHLDNG
NSE: CHOLAFIN,Cholamandalam Investment and Finance Company Limited,CHOLAFIN
NSE: CHROMATIC,Chromatic India Limited,CHROMATIC
NSE: CIGNITITEC,Cigniti Technologies Limited,CIGNITITEC
NSE: CNOVAPETRO,CIL Nova Petrochemicals Limited,CNOVAPETRO
NSE: CIMMCO,Cimmco Limited,CIMMCO
NSE: CINELINE,Cineline India Limited,CINELINE
NSE: CINEVISTA,Cinevista Limited,CINEVISTA
NSE: CIPLA,Cipla Limited,CIPLA
NSE: CUB,City Union Bank Limited,CUB
NSE: CKPLEISURE,CKP Leisure Limited,CKPLEISURE
NSE: CKPPRODUCT,CKP Products Limited,CKPPRODUCT
NSE: CLEDUCATE,CL Educate Limited,CLEDUCATE
NSE: CLNINDIA,Clariant Chemicals (India) Limited,CLNINDIA
NSE: CMICABLES,CMI Limited,CMICABLES
NSE: CMMIPL,CMM Infraprojects Limited,CMMIPL
NSE: COALINDIA,Coal India Limited,COALINDIA
NSE: COCHINSHIP,Cochin Shipyard Limited,COCHINSHIP
NSE: COFORGE,Coforge Limited,COFORGE
NSE: COLPAL,Colgate Palmolive (India) Limited,COLPAL
NSE: CEBBCO,Commercial Engineers & Body Builders Co Limited,CEBBCO
NSE: COMPINFO,Compuage Infocom Limited,COMPINFO
NSE: COMPUSOFT,Compucom Software Limited,COMPUSOFT
NSE: CAMS,Computer Age Management Services Limited,CAMS
NSE: CONFIPET,Confidence Petroleum India Limited,CONFIPET
NSE: CCCL,Consolidated Construction Consortium Limited,CCCL
NSE: CONSOFINVT,Consolidated Finvest & Holdings Limited,CONSOFINVT
NSE: CONCOR,Container Corporation of India Limited,CONCOR
NSE: CONTI,Continental Seeds and Chemicals Limited,CONTI
NSE: CONTROLPR,Control Print Limited,CONTROLPR
NSE: CORALFINAC,Coral India Finance & Housing Limited,CORALFINAC
NSE: CORDSCABLE,Cords Cable Industries Limited,CORDSCABLE
NSE: COROMANDEL,Coromandel International Limited,COROMANDEL
NSE: COSMOFILMS,Cosmo Films Limited,COSMOFILMS
NSE: CCHHL,Country Club Hospitality & Holidays Limited,CCHHL
NSE: COUNCODOS,Country Condo's Limited,COUNCODOS
NSE: CKFSL,Cox & Kings Financial Service Limited,CKFSL
NSE: COX&KINGS,Cox & Kings Limited,COX&KINGS
NSE: CREATIVEYE,Creative Eye Limited,CREATIVEYE
NSE: CREATIVE,Creative Peripherals and Distribution Limited,CREATIVE
NSE: CREDITACC,CreditAccess Grameen Limited,CREDITACC
NSE: CREST,Crest Ventures Limited,CREST
NSE: CRISIL,CRISIL Limited,CRISIL
NSE: CROMPTON,Crompton Greaves Consumer Electricals Limited,CROMPTON
NSE: CROWN,Crown Lifters Limited,CROWN
NSE: CSBBANK,CSB Bank Limited,CSBBANK
NSE: CUBEXTUB,Cubex Tubings Limited,CUBEXTUB
